peak_name,total_climbers,disabled_climbers,successful_climbs,solo_climbers,claimed_success,disputed_climbs
Everest,25274,58,12712,13,18,16
Ama Dablam,11185,8,6204,20,0,2
Cho Oyu,9141,13,4002,17,22,18
Manaslu,6537,6,2806,4,1,0
Lhotse,3292,7,1363,4,2,7
Dhaulagiri I,2962,4,690,10,6,12
Makalu,2757,5,795,8,13,3
Baruntse,2418,0,690,2,6,1
Himlung Himal,2033,2,900,3,0,0
Annapurna I,1959,4,512,4,6,8
Pumori,1837,4,536,7,0,1
Kangchenjunga,1620,1,573,5,4,4
Annapurna IV,868,0,138,1,0,6
Putha Hiunchuli,856,2,357,0,0,0
Tilicho,708,0,149,0,0,1
Tukuche,473,0,114,2,4,3
Langtang Lirung,344,0,54,0,0,0
Makalu II,325,0,81,2,0,0
Jannu,321,0,77,1,0,1
Nuptse,281,0,38,0,0,0
Annapurna III,278,0,34,1,0,0
Lhotse Shar,276,0,24,0,0,0
Himalchuli East,246,0,27,0,0,0
Kang Guru,239,0,80,1,0,0
Annapurna South,233,0,35,2,0,0
Annapurna II,224,0,16,0,0,2
Dorje Lhakpa,211,0,80,0,0,0
Yalung Kang,206,0,53,0,0,0
Gaurishankar,201,0,6,0,0,0
Gangapurna,188,0,41,0,0,0
Gyajikang,182,0,67,0,0,0
Bhrikuti,174,0,55,0,0,10
Kangtega,163,0,49,0,0,2
Glacier Dome,154,0,46,0,0,0
Ratna Chuli,150,0,42,0,0,0
Nemjung,141,0,8,0,0,0
Cholatse,139,0,63,1,0,0
Api Main,137,0,23,0,0,0
Changtse,136,0,52,1,1,0
Chamlang,135,0,22,1,0,0
Dhaulagiri II,131,0,25,0,0,0
Saipal,129,0,18,1,0,0
Dhaulagiri IV,129,0,13,0,0,0
Dhampus,128,0,81,0,0,0
Tawoche,118,0,37,1,0,0
Gyachung Kang,113,0,26,0,0,0
Tengkangpoche,110,0,18,1,0,0
Saribung,110,0,79,0,0,0
Ganchenpo,110,1,32,0,0,0
Numbur,108,0,28,0,0,0
Gimmigela Chuli,106,0,25,0,0,0
Peak 29,104,0,2,0,2,0
Churen Himal West,103,0,14,0,0,0
Kotang,100,0,19,0,0,0
Dolma Khang,100,0,36,0,0,0
Nilgiri North,98,0,26,0,0,0
Tashi Kang,96,0,33,0,0,0
Nepal Peak,95,0,9,0,0,0
Gurja Himal,95,0,30,0,0,2
Urkema,94,0,52,0,0,0
Mukut Himal,92,0,22,0,0,0
Manaslu North,92,0,20,0,0,5
Langshisa Ri,91,0,30,2,0,0
Lamjung Himal,91,0,41,0,0,0
Kangbachen,89,0,15,0,0,0
Fang,87,0,6,0,0,0
Kirat Chuli,85,0,3,0,0,0
Thamserku,81,0,18,0,0,0
Ganesh IV,81,0,22,0,0,0
Kusum Kanguru,78,0,28,4,0,0
Ganesh II,77,0,9,0,0,0
Kabru Dome,75,0,31,0,2,0
Bhrikuti Shail,74,0,55,0,0,0
Tengkoma,72,0,43,0,0,0
Leonpo Gang,71,0,18,0,0,0
Roc Noir,70,0,19,0,0,0
Gaugiri,70,0,14,0,0,0
Ganesh I,69,0,3,0,0,0
Churen Himal East,67,0,4,0,0,2
Pasang Lhamu Chuli,66,0,25,0,0,0
Talung,65,0,8,0,0,0
Nuptse West II,63,0,25,0,0,0
Pyramid Peak,61,0,12,0,0,0
Kanjiroba South,61,0,22,0,0,0
Kangchenjunga South,61,0,27,0,0,0
Hungchhi,61,0,16,0,0,0
Ngojumba Kang I,60,0,7,0,0,0
Langtang Ri,60,0,20,0,0,0
Norbu Kang,59,0,14,0,0,0
Khatung Khang,59,0,13,0,0,0
Dhaulagiri V,59,0,19,0,0,0
Panbari,57,0,9,0,0,0
Kangchenjunga Central,57,0,25,0,0,0
Rathong,56,0,24,0,0,0
Khatang,56,0,24,0,0,0
Dhaulagiri VI,56,0,22,0,0,0
Chobuje,56,0,16,1,0,0
Lobuche East,54,0,33,0,0,8
Arniko Chuli,54,0,28,0,0,0
Raksha Urai,53,0,6,0,0,0
Gurkarpo Ri,52,0,4,0,0,0
Ganesh III,52,0,11,0,0,0
Churen Himal Central,52,0,14,0,0,0
Tarke Kang Shar,49,0,15,0,0,0
Langdung,49,0,9,0,0,0
Tsartse,48,0,9,0,0,0
Lachama Chuli,48,0,7,0,0,0
Pokharkang,47,0,12,0,0,0
Sita Chuchura,46,0,10,1,0,0
Jannu East,45,0,0,0,0,0
Changwathang,44,0,21,0,0,0
Ohmi Kangri,43,0,14,0,0,0
Kagmara I,43,0,7,1,0,0
Danphe Shail,43,0,10,0,0,0
Annapurna I East,43,0,16,0,0,0
Shershon Northwest,41,0,37,0,0,0
Kabru North,41,0,11,0,0,0
Jongsang,41,0,11,0,0,3
Annapurna I Middle,41,0,16,0,0,0
Nilgiri South,40,0,9,0,0,0
Tobsar,39,0,3,0,0,0
Ramtang,39,0,2,0,0,0
Hongde,39,0,14,1,0,0
Urkinmang,38,0,24,0,0,0
Takphu Himal,38,0,6,0,0,0
Shey Shikhar,38,0,1,0,0,0
Pethangtse,38,0,22,1,0,0
Karyolung,38,0,21,0,0,0
Drangnag Ri,38,0,10,0,0,0
Dhaulagiri III,38,0,14,0,0,0
Tengi Ragi Tau,37,0,9,0,0,0
Kwangde,37,0,22,0,0,0
Hiunchuli,37,0,20,0,0,0
Sphinx,36,0,26,0,0,0
Kojichuwa Chuli,36,0,3,0,0,0
Ganesh V,36,0,19,0,0,0
Drohmo,36,0,0,0,0,0
Thulagi,35,0,4,0,0,0
Samdo,35,0,6,0,0,0
Gimmigela Chuli East,35,0,14,0,0,0
Gaurishankar South,35,0,15,0,0,0
Purkhung,34,0,23,0,0,0
Lugula,34,0,21,0,0,0
Nuptse East I,33,0,2,0,0,0
Tsaurabong Peak,32,0,30,0,0,0
Kanti Himal,32,0,8,0,0,0
Kande Hiunchuli,32,0,2,0,0,2
Dome Kang,32,0,7,0,0,0
Chhukung Chuli,32,0,29,0,0,0
Chamar North,32,0,5,0,0,0
Langdak,31,0,24,0,0,0
Kanjeralwa,31,0,8,0,0,0
Jobo Rinjang,31,0,3,0,0,0
Chukyima Go,31,0,11,0,0,0
Nupche Kang,30,0,26,0,0,0
Kangchung Nup,30,0,13,0,0,0
Cho Polu,30,0,9,0,0,0
Burke Kang,30,0,4,0,0,0
Nilgiri Central,29,0,10,0,0,0
Kyazo Ri,29,0,20,0,0,0
Khangri Shar,29,0,0,0,0,0
Kyashar,28,0,6,0,0,0
Janak Chuli,28,0,4,0,0,1
Himalchuli West,28,0,7,0,0,0
Himalchuli North,28,0,7,0,0,0
Shartse,27,0,0,0,0,0
Pharilapcha,27,0,21,0,0,0
Ngojumba Kang II,27,0,8,0,0,0
Linkhu Chuli Nup,27,0,9,0,0,0
Khamjung,26,0,2,0,0,0
Baudha,26,0,8,0,0,0
Tawa,25,0,4,0,0,0
Peak 41,25,0,7,0,0,0
Nampa,25,0,4,0,0,0
Leonpo Gang East,25,0,13,0,0,0
Kali Himal,25,0,11,0,0,0
Aichyn,25,0,11,0,0,0
Ripimo Shar,24,0,18,0,0,0
Rani Peak,24,0,14,0,0,0
Parchamo,24,0,14,1,0,0
Chekigo,24,0,2,0,0,0
Yakawa Kang,23,0,4,0,0,0
Phurbi Chhyachu,23,0,16,0,0,0
Imjatse,22,0,13,1,0,0
Shartse II,21,0,5,0,0,0
Ramtang Chang,21,0,5,0,0,0
Panpoche 1,21,0,3,0,0,0
Nangpai Gosum I,21,0,1,1,0,0
Lobuche West,21,0,10,0,0,0
Gyalzen Peak,21,0,12,0,0,0
Changla,21,0,4,0,0,0
Simnang Himal,20,0,6,0,0,0
Nalakankar North,20,0,2,0,0,0
Langtang Yubra,20,0,10,0,0,0
Ghyun Himal I,20,0,0,0,0,0
Chandi Himal,20,0,2,0,0,0
Chako,20,0,9,0,0,0
Tripura Hiunchuli,19,0,3,0,0,0
Tengi Ragi Tau South,19,0,10,0,0,0
Sharphu I,19,0,14,0,0,0
Shalbachum,19,0,6,0,0,0
Patrasi Himal,19,0,3,0,0,0
Nirekha,19,0,19,0,0,0
Merra,19,0,11,0,0,0
Kangchung Shar,19,0,12,0,0,0
Dragmorpa Ri,19,0,7,0,0,0
Cheo Himal,19,0,4,0,0,0
Omitso Go,18,0,6,0,0,0
Lunag Ri,18,0,1,0,0,0
Kabru South,18,0,10,0,0,0
Chhopa Bamare,18,0,8,0,0,6
Yaupa,17,0,3,0,0,0
Purbung Himal,17,0,2,0,0,0
Punchen Himal,17,0,0,0,0,0
Pethangtse East,17,0,16,0,0,0
Pawar Central,17,0,10,0,0,0
Ombigaichen,17,0,12,0,0,0
Nalakankar South,17,0,14,0,0,0
Mera Peak,17,0,11,0,0,0
Kangtokal,17,0,8,0,0,0
Ghustang North,17,0,15,0,0,0
Chulu West,17,0,16,0,0,0
Ramdung,16,0,6,0,0,0
Pokalde,16,0,12,0,0,0
Pangbuk North,16,0,4,0,4,0
Lha Shamma,16,0,7,0,0,0
Kanta Gaton,16,0,13,0,0,0
Ghustang South,16,0,10,0,0,0
Ganesh VI,16,0,4,0,0,0
Dudh Kundali,16,0,13,0,0,0
Amotsang,16,0,1,1,0,0
Malanphulan,15,0,2,0,0,0
Lhotse Middle,15,0,9,0,0,0
Kanjiroba North,15,0,0,0,0,0
Amphu Gyabjen,15,0,12,0,0,0
Tso Karpo Kang,14,0,8,0,0,0
Surma-Sarovar North,14,0,2,0,0,0
Korlang Pari Tippa,14,0,0,0,0,0
Jethi Bahurani,14,0,3,0,0,0
Himjung,14,0,5,0,0,0
Gama Peak,14,0,6,0,0,0
Tongu,13,0,10,0,0,0
Tharke Kang,13,0,7,0,0,0
Pisang,13,0,12,1,0,0
Phu Kang,13,0,7,0,0,0
Lingtren,13,0,2,0,0,0
Kyungka Ri 1,13,0,4,0,0,0
Jugal 1,13,0,7,0,0,0
Chumbu,13,0,4,0,0,0
Chago,13,0,9,1,0,0
Taple Shikhar,12,0,4,0,0,0
Sisne Himal,12,0,8,0,0,0
Sharphu IV,12,0,9,0,0,0
Pimu,12,0,6,0,0,0
Nup La Kang,12,0,11,0,0,0
Narphu,12,1,9,0,0,0
Nangamari I,12,0,6,0,0,0
Langpo South,12,0,5,0,0,0
Kande Hiunchuli North  I,12,0,0,0,0,0
Jomsom Himal,12,0,5,0,0,0
Gorakh Khang,12,0,0,1,0,0
Gangapurna West,12,0,0,0,0,0
Firnkopf,12,0,0,0,0,0
Dingjung North,12,0,3,0,0,0
Bhemdang Ri,12,0,3,0,0,0
Beding Go,12,0,7,0,0,0
Shershon,11,0,0,0,0,0
Paldor,11,0,6,0,0,4
Langju,11,0,3,0,0,0
Dzasampatse,11,0,2,0,0,0
Danga,11,0,3,0,0,0
Chulu Central,11,0,11,0,0,0
Bijora Hiunchuli,11,0,0,0,0,0
Bamongo,11,0,3,0,0,0
Anidesh Chuli,11,0,0,0,0,0
Yansa Tsenji,10,0,2,0,0,0
Thorong Peak,10,0,10,0,0,0
Saipal East Humla,10,0,3,0,0,0
Rokapi,10,0,3,0,0,0
Palung,10,0,5,0,0,0
Nangamari II,10,0,9,0,0,0
Machhapuchhare,10,0,0,0,0,0
Takphu North,9,0,7,0,0,0
Serku Dolma,9,0,3,0,0,0
Raungsiyar,9,0,5,0,0,0
Pemthang Karpo Ri,9,0,5,0,0,0
Pangbuk Ri,9,0,2,0,0,0
Pandra,9,0,6,0,0,0
Myagdi Matha,9,0,0,0,0,0
Mingbo Ri,9,0,0,0,0,0
Mariyang,9,0,8,0,0,0
Lunchhung Kamo East,9,0,7,0,0,0
Kande Hiunchuli North  II,9,0,2,0,0,0
Junction Peak,9,0,0,0,0,0
Jugal 5,9,0,5,0,0,0
Hongku,9,0,7,0,0,0
Amphu I,9,0,3,0,0,0
Tsisima,8,0,6,0,0,0
Triangle Peak,8,0,2,0,0,0
Tengi Ragi Tau East,8,0,5,0,0,0
Rolwaling Kang,8,0,6,0,0,0
Panalotapa,8,0,2,0,0,0
Mustang Peak,8,0,7,0,0,0
Metalung,8,0,7,0,0,0
Mansail,8,0,4,0,0,0
Jasemba Goth,8,0,7,0,0,0
Jarkya,8,0,0,0,0,0
Dogari,8,0,0,0,0,0
Chamar Kang,8,0,6,0,0,0
Tharpu Chuli,7,0,5,0,0,0
Takargo,7,0,2,0,0,0
Sharphu II,7,0,2,0,0,0
Roma,7,0,0,0,0,0
Peak 4,7,0,0,0,0,0
Numri,7,0,3,0,0,0
Ngojumba Kang III,7,0,0,0,0,0
Matathumba,7,0,5,0,0,0
Larkya Peak,7,0,6,0,0,0
Kangtsune,7,0,0,0,0,0
Hongku Chuli,7,0,0,0,0,0
Domo,7,0,5,0,0,0
Bhairab Takura,7,0,3,0,0,0
Syaokang,6,0,5,0,0,0
Swelokhan,6,0,0,0,0,0
Saldim West,6,0,2,0,0,0
Pota Himal North,6,0,5,0,0,0
Pointed Peak,6,0,5,0,0,0
Pankar Himal,6,0,6,0,0,0
Ombak Himal,6,0,4,0,0,0
Nagoru Far East,6,0,6,0,0,0
Lhonak,6,0,0,0,0,0
Langmoche Ri,6,0,2,0,0,0
Kyabura,6,0,5,0,0,0
Khayang,6,0,0,0,0,0
Kaptang,6,0,6,0,0,0
Kang Nagchugo,6,0,4,0,0,0
Hulang Go,6,0,6,0,0,0
Gorakh Himal,6,0,0,0,0,0
Goldum Peak,6,0,3,0,0,0
Ghhanyala Hies,6,0,0,0,0,0
Dzanye II,6,0,6,0,0,0
Chaw Peak,6,0,0,0,0,0
Boktoh,6,0,3,0,0,0
Bhulu Lhasa,6,0,4,0,0,0
Amphu Middle,6,0,5,0,0,0
Tutse,5,0,0,0,0,0
Tilje,5,0,0,0,0,0
Til Kang,5,0,2,0,0,0
Mardi Himal,5,0,5,0,0,0
Lashar II,5,0,0,0,0,0
Kabru Main,5,0,4,0,0,0
Ghyuthumba Main,5,0,5,0,0,0
Dzanye,5,0,5,0,0,0
Dingjung Ri,5,0,2,0,0,0
Chhuboche,5,0,4,0,0,0
Chhiv Himal,5,0,4,0,0,0
Takargo East,4,0,4,1,0,0
Swaksa Kang,4,0,0,0,0,0
Sharphu VI,4,0,0,0,0,0
Peri,4,0,3,0,0,0
Omoga Ri Chang,4,0,0,0,0,0
Naulekh,4,0,3,0,0,0
Manapathi NE,4,0,4,0,0,0
Lunag II,4,0,4,0,0,0
Linkhu Chuli Shar,4,0,1,0,0,0
Lampo,4,0,0,0,0,0
Lachama North,4,0,0,0,0,0
Kyungka Ri 2,4,0,4,0,0,0
Hunku,4,0,2,0,0,0
Himlung East,4,0,4,0,0,0
Gojung,4,0,2,0,0,0
Ghenge Liru,4,0,3,0,0,0
Gave Ding,4,0,2,0,0,0
Futi Himal,4,0,4,0,0,0
Firnkopf West,4,0,3,0,0,0
Dhechyan Khang,4,0,4,0,0,0
Chhukung Tse,4,0,4,0,0,0
Chhochenphu Himal,4,0,0,0,0,0
Ardang,4,0,2,0,0,0
Yara Chuli,3,0,0,0,0,0
Yalung Peak,3,0,0,0,0,0
Singu Chuli,3,0,2,0,0,0
Sano Kailash,3,0,2,0,0,0
Rolmi,3,0,3,0,0,0
Phungi,3,0,0,0,0,0
Panpoche 2,3,0,3,0,0,0
Pabuk Kang,3,0,0,0,0,0
Nagoru,3,0,2,0,0,0
Mustang Himal,3,0,3,0,0,0
Mojca,3,0,2,0,0,0
Luza,3,0,3,0,0,0
Kimshung,3,0,0,0,0,0
Jugal 2,3,0,0,0,0,0
Bobaye,3,0,1,1,0,0
Yanme Kang,2,0,2,0,0,0
Tankya I,2,0,0,0,0,0
Saula,2,0,2,0,0,0
Sat Peak,2,0,0,0,0,0
Phungi Himal,2,0,2,0,0,0
Phu Kang Go,2,0,2,0,0,0
Phole,2,0,0,0,0,0
Manapathi,2,0,2,0,0,0
Lunag West,2,0,2,0,0,0
Lhayul Peak,2,0,0,0,0,0
Lashar I,2,0,2,0,0,0
Langpo,2,0,2,0,0,0
Kumlung,2,0,2,0,0,0
Khumbutse,2,0,1,0,0,0
Kang Kuru,2,0,2,0,0,0
Jugal 3,2,0,2,0,0,0
Jinjang,2,0,0,0,0,0
Jagdula,2,0,1,0,0,0
Jabou Ri,2,0,2,0,0,0
Gandharva Chuli,2,0,2,0,0,0
Dorje Lakpa II,2,0,2,0,0,0
Snow Peak,1,0,0,0,0,0
